AnnoS;CorsoTIPO;SESSO;Lau
2018;Laurea Magistrale - dm 270/04;F;54157
2018;Laurea Specialistica - dm 509/99;M;477
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14499
2018;Corso di Laurea - vecchio ordinamento;F;1034
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;F;1245
2018;Laurea  - dm 509/99;M;1904
2018;Laurea Magistrale - dm 270/04;M;44286
2018;Laurea - dm 270/04;F;103632
2018;Corso di Laurea - vecchio ordinamento;M;497
2018;Laurea Specialistica - dm 509/99;F;278
2018;Laurea - dm 270/04;M;78604
2017;Laurea Magistrale - dm 270/04;F;52930
2017;Laurea  - dm 509/99;M;3024
2017;Corso di Laurea - vecchio ordinamento;M;658
2017;Laurea - dm 270/04;F;100055
2017;Corso di Laurea - vecchio ordinamento;F;1451
2017;Laurea Specialistica - dm 509/99;M;480
2017;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1161
2017;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13990
2017;Laurea - dm 270/04;M;74081
2017;Laurea Specialistica a Ciclo Unico - dm 509/99;F;1797
2017;Laurea  - dm 509/99;F;3397
2017;Laurea Magistrale - dm 270/04;M;41355
2017;Laurea Magistrale a Ciclo Unico - dm 270/04;F;23589
2017;Laurea Specialistica - dm 509/99;F;392
2016;Laurea - dm 270/04;M;70599
2016;Laurea - dm 270/04;F;96721
2016;Laurea Specialistica - dm 509/99;M;653
2016;Laurea  - dm 509/99;M;4955
2016;Corso di Laurea - vecchio ordinamento;M;834
2016;Laurea Specialistica - dm 509/99;F;604
2016;Laurea Magistrale - dm 270/04;M;39554
2016;Laurea Magistrale a Ciclo Unico - dm 270/04;F;20836
2016;Laurea  - dm 509/99;F;5476
2016;Laurea Specialistica a Ciclo Unico - dm 509/99;F;2962
2016;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1914
2016;Laurea Magistrale - dm 270/04;F;51448
2016;Corso di Laurea - vecchio ordinamento;F;2458
2016;Laurea Magistrale a Ciclo Unico - dm 270/04;M;12957
2015;Laurea  - dm 509/99;F;9562
2015;Laurea Specialistica - dm 509/99;M;1130
2015;Laurea Specialistica a Ciclo Unico - dm 509/99;F;5124
2015;Laurea - dm 270/04;M;65360
2015;Laurea  - dm 509/99;M;8071
2015;Laurea Magistrale - dm 270/04;F;49523
